Subject,Start Date,Start Time,End Date,End Time,Description,Location
Sign Up Night,2018-09-05,19:00,2018-09-05,20:00,Sign up for the 2018-2019 Cub scout season,Catonsville Presbyterian Church
Den Meeting,2018-09-12,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2018-09-13,19:00,,21:00,,Catonsville Presbyterian Church
Den Meeting,2018-09-19,19:00,,20:00,,Catonsville Presbyterian Church
Pack Meeting,2018-09-26,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2018-10-03,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2018-10-10,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2018-10-11,19:00,,21:00,,Catonsville Presbyterian Church
Den Meeting,2018-10-17,19:00,,20:00,,Catonsville Presbyterian Church
Pack Meeting,2018-10-24,19:00,,20:00,,Catonsville Presbyterian Church
No Meeting,2018-10-31,,,,,
Camping,2018-10-13,,2018-10-14,,,TBD
Pow Wow (Leader Training),2018-11-03,,,,,
Den Meeting,2018-11-07,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2018-11-14,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2018-11-15,19:00,,21:00,,Catonsville Presbyterian Church
Lazer Tag,2018-11-21,19:00,,,,
CPC Service Project,2018-11-24,9:00,,,,Catonsville Presbyterian Church
Pack Meeting,2018-11-28,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2018-12-05,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2018-12-12,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2018-12-13,19:00,,21:00,,Catonsville Presbyterian Church
Pack Meeting,2018-12-19,19:00,,20:00,Holiday Party,Catonsville Presbyterian Church
No Meeting,2018-12-26,,,,,
Den Meeting,2019-01-02,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2019-01-09,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2019-01-10,19:00,,21:00,,Catonsville Presbyterian Church
Den Meeting,2019-01-16,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2019-01-23,19:00,,20:00,,Catonsville Presbyterian Church
Pack Meeting,2019-01-30,19:00,,20:00,,Catonsville Presbyterian Church
Snow Tubing,2019-02-03,,,,,
Den Meeting,2019-02-06,19:00,,20:00,,Catonsville Presbyterian Church
Scout Sunday,2019-02-10,,,,,Catonsville Presbyterian Church
Den Meeting,2019-02-13,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2019-02-14,19:00,,21:00,,Catonsville Presbyterian Church
Den Meeting,2019-02-20,19:00,,20:00,,Catonsville Presbyterian Church
Pinewood Derby,2019-02-23,,,,,
Pack Meeting,2019-02-27,19:00,,20:00,,Catonsville Presbyterian Church
No Meeting,2019-03-06,,,,Ash Wednesday,
Den Meeting,2019-03-13,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2019-03-14,19:00,,21:00,,Catonsville Presbyterian Church
Den Meeting,2019-03-20,19:00,,20:00,,Catonsville Presbyterian Church
Blue and Gold Dinner,2019-03-23,17:00,,,,Catonsville Presbyterian Church
Den Meeting,2019-03-27,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2019-04-03,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2019-04-10,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2019-04-11,19:00,,21:00,,Catonsville Presbyterian Church
Den Meeting,2019-04-17,19:00,,20:00,,Catonsville Presbyterian Church
Pack Meeting,2019-04-24,19:00,,20:00,,Catonsville Presbyterian Church
Camping,2019-04-27,,2019-04-28,,,TBD
Den Meeting,2019-05-01,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2019-05-08,19:00,,20:00,,Catonsville Presbyterian Church
Parent/Leader Meeting,2019-05-09,19:00,,21:00,,Catonsville Presbyterian Church
Den Meeting,2019-05-15,19:00,,20:00,,Catonsville Presbyterian Church
Den Meeting,2019-05-22,19:00,,20:00,,Catonsville Presbyterian Church
We Remember Flags,2019-05-24,,,,,
Pack Meeting,2019-05-29,19:00,,20:00,,Catonsville Presbyterian Church
